"zip","city","county","state","pop"
"92311","Barstow","San Bernardino","CA",33612
"92551","Moreno Valley","Riverside","CA",33578
"95901","Marysville","Yuba","CA",33442
"95358","Modesto","Stanislaus","CA",33345
"92373","Redlands","San Bernardino","CA",33264
"93001","Ventura","Ventura","CA",33185
"91752","Mira Loma","Riverside","CA",33135
"90601","Whittier","Los Angeles","CA",33058
"91754","Monterey Park","Los Angeles","CA",33058
"92220","Banning","Riverside","CA",33014
"91006","Arcadia","Los Angeles","CA",33012
"93703","Fresno","Fresno","CA",33000
"90222","Compton","Los Angeles","CA",32850
"95356","Modesto","Stanislaus","CA",32842
"90230","Culver City","Los Angeles","CA",32808
"90606","Whittier","Los Angeles","CA",32803
"92583","San Jacinto","Riverside","CA",32692
"93710","Fresno","Fresno","CA",32625
"92679","Trabuco Canyon","Orange","CA",32579
"91351","Canyon Country","Los Angeles","CA",32572
"95118","San Jose","Santa Clara","CA",32560
"94526","Danville","Contra Costa","CA",32539
"94545","Hayward","Alameda","CA",32525
"95377","Tracy","San Joaquin","CA",32501
"95341","Merced","Merced","CA",32446
"93940","Monterey","Monterey","CA",32411
"90803","Long Beach","Los Angeles","CA",32389
"91941","La Mesa","San Diego","CA",32384
"91107","Pasadena","Los Angeles","CA",32364
"92612","Irvine","Orange","CA",32362
"95842","Sacramento","Sacramento","CA",32269
"92124","San Diego","San Diego","CA",32170
"91604","Studio City","Los Angeles","CA",32117
"91354","Valencia","Los Angeles","CA",32096
"90807","Long Beach","Los Angeles","CA",32067
"94941","Mill Valley","Marin","CA",32013
"95662","Orangevale","Sacramento","CA",32006
"92173","San Ysidro","San Diego","CA",31866
"95482","Ukiah","Mendocino","CA",31847
"91915","Chula Vista","San Diego","CA",31740
"90008","Los Angeles","Los Angeles","CA",31739
"93101","Santa Barbara","Santa Barbara","CA",31624
"94610","Oakland","Alameda","CA",31496
"94043","Mountain View","Santa Clara","CA",31488
"94132","San Francisco","San Francisco","CA",31488
"91355","Valencia","Los Angeles","CA",31455
"95632","Galt","Sacramento","CA",31431
"95661","Roseville","Placer","CA",31327
"95070","Saratoga","Santa Clara","CA",31308
"93618","Dinuba","Tulare","CA",31230
"92123","San Diego","San Diego","CA",31216
"95131","San Jose","Santa Clara","CA",31170
"92107","San Diego","San Diego","CA",31148
"94102","San Francisco","San Francisco","CA",31067
"90712","Lakewood","Los Angeles","CA",31063
"91303","Canoga Park","Los Angeles","CA",31053
"94070","San Carlos","San Mateo","CA",31049
"93654","Reedley","Fresno","CA",30935
"92673","San Clemente","Orange","CA",30927
"93662","Selma","Fresno","CA",30922
"91607","Valley Village","Los Angeles","CA",30873
"90302","Inglewood","Los Angeles","CA",30828
"91356","Tarzana","Los Angeles","CA",30804
"95472","Sebastopol","Sonoma","CA",30762
"92203","Indio","Riverside","CA",30744
"90028","Los Angeles","Los Angeles","CA",30734
"91746","La Puente","Los Angeles","CA",30708
"91505","Burbank","Los Angeles","CA",30680
"94589","Vallejo","Solano","CA",30668
"91214","La Crescenta","Los Angeles","CA",30654
"92596","Winchester","Riverside","CA",30573
"92405","San Bernardino","San Bernardino","CA",30511
"93004","Ventura","Ventura","CA",30502
"91803","Alhambra","Los Angeles","CA",30385
"90680","Stanton","Orange","CA",30321
